;Cantidad de EAPs;Año del censo;Partido;Tamaño EAPs
0;25563;2018;Provincia de Buenos Aires;Pequeñas (<=500 ha)
1;346;2018;Adolfo Alsina;Pequeñas (<=500 ha)
2;136;2018;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
3;181;2018;Alberti;Pequeñas (<=500 ha)
4;44;2018;Almirante Brown;Pequeñas (<=500 ha)
5;183;2018;Arrecifes;Pequeñas (<=500 ha)
6;0;2018;Avellaneda;Pequeñas (<=500 ha)
7;454;2018;Ayacucho;Pequeñas (<=500 ha)
8;411;2018;Azul;Pequeñas (<=500 ha)
9;165;2018;Bahía Blanca;Pequeñas (<=500 ha)
10;264;2018;Balcarce;Pequeñas (<=500 ha)
11;138;2018;Baradero;Pequeñas (<=500 ha)
12;267;2018;Benito Juárez;Pequeñas (<=500 ha)
13;279;2018;Berazategui;Pequeñas (<=500 ha)
14;44;2018;Berisso;Pequeñas (<=500 ha)
15;693;2018;Bolívar;Pequeñas (<=500 ha)
16;212;2018;Bragado;Pequeñas (<=500 ha)
17;148;2018;Brandsen;Pequeñas (<=500 ha)
18;124;2018;Campana;Pequeñas (<=500 ha)
19;157;2018;Cañuelas;Pequeñas (<=500 ha)
20;128;2018;Capitán Sarmiento;Pequeñas (<=500 ha)
21;184;2018;Carlos Casares;Pequeñas (<=500 ha)
22;284;2018;Carlos Tejedor;Pequeñas (<=500 ha)
23;61;2018;Carmen de Areco;Pequeñas (<=500 ha)
24;59;2018;Castelli;Pequeñas (<=500 ha)
25;350;2018;Chacabuco;Pequeñas (<=500 ha)
26;334;2018;Chascomús;Pequeñas (<=500 ha)
27;332;2018;Chivilcoy;Pequeñas (<=500 ha)
28;216;2018;Colón;Pequeñas (<=500 ha)
29;79;2018;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
30;162;2018;Coronel Dorrego;Pequeñas (<=500 ha)
31;292;2018;Coronel Pringles;Pequeñas (<=500 ha)
32;454;2018;Coronel Suárez;Pequeñas (<=500 ha)
33;259;2018;Daireaux;Pequeñas (<=500 ha)
34;100;2018;Dolores;Pequeñas (<=500 ha)
35;6;2018;Ensenada;Pequeñas (<=500 ha)
36;32;2018;Escobar;Pequeñas (<=500 ha)
37;23;2018;Esteban Echeverría;Pequeñas (<=500 ha)
38;121;2018;Exaltación de la Cruz;Pequeñas (<=500 ha)
39;3;2018;Ezeiza;Pequeñas (<=500 ha)
40;427;2018;Florencio Varela;Pequeñas (<=500 ha)
41;62;2018;Florentino Ameghino;Pequeñas (<=500 ha)
42;76;2018;General Alvarado;Pequeñas (<=500 ha)
43;161;2018;General Alvear;Pequeñas (<=500 ha)
44;234;2018;General Arenales;Pequeñas (<=500 ha)
45;101;2018;General Belgrano;Pequeñas (<=500 ha)
46;207;2018;General Guido;Pequeñas (<=500 ha)
47;152;2018;General Juan Madariaga;Pequeñas (<=500 ha)
48;173;2018;General La Madrid;Pequeñas (<=500 ha)
49;189;2018;General Las Heras;Pequeñas (<=500 ha)
50;121;2018;General Lavalle;Pequeñas (<=500 ha)
51;260;2018;General Paz;Pequeñas (<=500 ha)
52;134;2018;General Pinto;Pequeñas (<=500 ha)
53;275;2018;General Pueyrredón;Pequeñas (<=500 ha)
54;67;2018;General Rodríguez;Pequeñas (<=500 ha)
55;0;2018;General San Martín;Pequeñas (<=500 ha)
56;165;2018;General Viamonte;Pequeñas (<=500 ha)
57;310;2018;General Villegas;Pequeñas (<=500 ha)
58;362;2018;Guaminí;Pequeñas (<=500 ha)
59;120;2018;Hipólito Yrigoyen;Pequeñas (<=500 ha)
60;0;2018;Hurlingham;Pequeñas (<=500 ha)
61;0;2018;Ituzaingó;Pequeñas (<=500 ha)
62;6;2018;José C, Paz;Pequeñas (<=500 ha)
63;407;2018;Junín;Pequeñas (<=500 ha)
64;9;2018;La Costa;Pequeñas (<=500 ha)
65;9;2018;La Matanza;Pequeñas (<=500 ha)
66;0;2018;Lanús;Pequeñas (<=500 ha)
67;1643;2018;La Plata;Pequeñas (<=500 ha)
68;164;2018;Laprida;Pequeñas (<=500 ha)
69;280;2018;Las Flores;Pequeñas (<=500 ha)
70;122;2018;Leandro N, Alem;Pequeñas (<=500 ha)
71;193;2018;Lezama;Pequeñas (<=500 ha)
72;444;2018;Lincoln;Pequeñas (<=500 ha)
73;235;2018;Lobería;Pequeñas (<=500 ha)
74;309;2018;Lobos;Pequeñas (<=500 ha)
75;0;2018;Lomas de Zamora;Pequeñas (<=500 ha)
76;133;2018;Luján;Pequeñas (<=500 ha)
77;261;2018;Magdalena;Pequeñas (<=500 ha)
78;119;2018;Maipú;Pequeñas (<=500 ha)
79;14;2018;Malvinas Argentinas;Pequeñas (<=500 ha)
80;187;2018;Mar Chiquita;Pequeñas (<=500 ha)
81;148;2018;Marcos Paz;Pequeñas (<=500 ha)
82;208;2018;Mercedes;Pequeñas (<=500 ha)
83;45;2018;Merlo;Pequeñas (<=500 ha)
84;139;2018;Monte;Pequeñas (<=500 ha)
85;0;2018;Monte Hermoso;Pequeñas (<=500 ha)
86;52;2018;Moreno;Pequeñas (<=500 ha)
87;0;2018;Morón;Pequeñas (<=500 ha)
88;205;2018;Navarro;Pequeñas (<=500 ha)
89;196;2018;Necochea;Pequeñas (<=500 ha)
90;508;2018;9 de julio;Pequeñas (<=500 ha)
91;372;2018;Olavarría;Pequeñas (<=500 ha)
92;270;2018;Patagones;Pequeñas (<=500 ha)
93;302;2018;Pehuajó;Pequeñas (<=500 ha)
94;132;2018;Pellegrini;Pequeñas (<=500 ha)
95;506;2018;Pergamino;Pequeñas (<=500 ha)
96;121;2018;Pila;Pequeñas (<=500 ha)
97;85;2018;Pilar;Pequeñas (<=500 ha)
98;0;2018;Pinamar;Pequeñas (<=500 ha)
99;20;2018;Presidente Perón;Pequeñas (<=500 ha)
100;411;2018;Puán;Pequeñas (<=500 ha)
101;122;2018;Punta Indio;Pequeñas (<=500 ha)
102;0;2018;Quilmes;Pequeñas (<=500 ha)
103;146;2018;Ramallo;Pequeñas (<=500 ha)
104;429;2018;Rauch;Pequeñas (<=500 ha)
